#{"t_start": 1763494870.0739942, "env_id": "HealthcareEnv-v0"}
r,l,t
1120.0,90,2.279936
2200.0,90,2.686722
4180.0,90,3.039728
4280.0,90,3.421823
4210.0,90,3.771551
4620.0,90,4.156508
4910.0,90,4.508595
5870.0,90,4.856602
6515.0,90,5.218456
7955.0,90,5.577097
5570.0,90,5.928127
7175.0,90,6.294119
6795.0,90,6.660871
8020.0,90,7.074467
6480.0,90,7.460802
8990.0,90,7.818043
8390.0,90,8.21204
7440.0,90,8.569781
6350.0,90,8.90208
7375.0,90,9.274139
8180.0,90,9.630268
5915.0,90,9.978653
6565.0,90,10.368384
8340.0,90,10.684332
4545.0,90,11.026303
7685.0,90,11.393717
8240.0,90,11.787791
6920.0,90,12.142511
7400.0,90,12.774271
8320.0,90,13.338889
7350.0,90,13.886583
8440.0,90,14.384829
8110.0,90,14.900597
7365.0,90,15.480456
6800.0,90,15.974466
8435.0,90,16.54245
8120.0,90,17.026283
7945.0,90,17.580051
7615.0,90,18.162753
6040.0,90,18.854646
8595.0,90,19.369254
6040.0,90,19.90622
6615.0,90,20.448287
7850.0,90,20.924028
6485.0,90,21.515737
8910.0,90,22.060004
8195.0,90,22.614407
8390.0,90,23.144133
9440.0,90,23.716692
7960.0,90,24.337928
9560.0,90,24.92411
7795.0,90,25.431154
9475.0,90,26.00105
7345.0,90,26.498357
8035.0,90,27.053407
6460.0,90,28.042575
6240.0,90,28.600252
8705.0,90,29.074278
8830.0,90,29.724423
7380.0,90,30.366819
6725.0,90,30.918598
8285.0,90,31.47099
8660.0,90,32.02791
6780.0,90,32.567329
8245.0,90,33.10039
8485.0,90,33.614042
9720.0,90,34.147616
8850.0,90,34.674618
9810.0,90,35.207354
6760.0,90,35.89443
8730.0,90,36.395764
9510.0,90,36.924269
8530.0,90,37.478907
8850.0,90,38.035721
8540.0,90,38.503936
8800.0,90,39.014476
9110.0,90,39.593228
8930.0,90,40.14802
9220.0,90,40.703789
7630.0,90,41.330161
8420.0,90,41.882405
8110.0,90,42.413073
8200.0,90,42.990383
7420.0,90,43.531871
8330.0,90,44.091753
9720.0,90,44.592018
8250.0,90,45.137465
8995.0,90,45.646235
8670.0,90,46.210626
10690.0,90,46.850689
7960.0,90,47.389343
9885.0,90,47.915528
6420.0,90,48.415969
10115.0,90,49.036958
9310.0,90,49.552351
9315.0,90,50.091508
8365.0,90,50.60194
7200.0,90,51.132249
9740.0,90,51.635368
8810.0,90,52.210544
7720.0,90,52.804555
8980.0,90,53.36811
8925.0,90,53.881692
8530.0,90,54.450122
9530.0,90,55.000663
9560.0,90,55.53455
7650.0,90,56.062339
5910.0,90,56.556843
6245.0,90,57.074732
8185.0,90,57.586216
7445.0,90,58.237187
8335.0,90,59.131836
8070.0,90,59.655852
9310.0,90,60.172177
9315.0,90,60.70107
7570.0,90,61.235288
7635.0,90,61.81409
10825.0,90,62.32179
8110.0,90,62.836529
9530.0,90,63.414609
9530.0,90,63.998574
8170.0,90,64.527468
8180.0,90,65.060943
7480.0,90,65.622532
8620.0,90,66.145497
6460.0,90,66.682378
7670.0,90,67.267723
9410.0,90,67.827427
9910.0,90,68.370277
9790.0,90,68.92467
8870.0,90,69.560291
9690.0,90,70.119963
7970.0,90,70.656959
7730.0,90,71.180734
8230.0,90,71.732244
9550.0,90,72.278388
8380.0,90,72.809721
8740.0,90,73.343314
7560.0,90,73.903058
8910.0,90,74.412174
8590.0,90,75.049118
8180.0,90,75.624689
8320.0,90,76.186224
9130.0,90,76.723538
9520.0,90,77.28218
9720.0,90,77.833745
10080.0,90,78.378481
7800.0,90,78.915062
10390.0,90,79.432414
9320.0,90,79.949196
10090.0,90,80.554504
10540.0,90,81.132183
7710.0,90,81.634195
11310.0,90,82.207884
10650.0,90,82.727032
9450.0,90,83.25412
9950.0,90,83.759522
9740.0,90,84.295752
8930.0,90,84.81173
9130.0,90,85.321954
9950.0,90,85.904192
8980.0,90,86.60072
8260.0,90,87.160084
9650.0,90,87.700228
11170.0,90,88.290686
10110.0,90,88.796877
9000.0,90,89.745501
10330.0,90,90.234375
10590.0,90,90.785475
8200.0,90,91.303602
7110.0,90,91.946499
9740.0,90,92.494902
7610.0,90,93.076277
9630.0,90,93.582802
11170.0,90,94.15764
9380.0,90,94.756007
9660.0,90,95.315713
10120.0,90,95.927157
9480.0,90,96.471913
10700.0,90,97.009651
8440.0,90,97.621036
10550.0,90,98.184762
7240.0,90,98.694364
8850.0,90,99.30197
9120.0,90,99.85418
9190.0,90,100.410157
9440.0,90,100.971532
10750.0,90,101.534927
10580.0,90,102.106674
10050.0,90,102.63974
11270.0,90,103.379085
10730.0,90,104.024366
10910.0,90,104.574634
8950.0,90,105.131453
9050.0,90,105.746971
8580.0,90,106.324002
9340.0,90,106.858565
8550.0,90,107.441613
8890.0,90,107.972808
9010.0,90,108.484075
9400.0,90,109.179057
9170.0,90,109.727457
9050.0,90,110.28902
9140.0,90,110.839931
9350.0,90,111.351046
9500.0,90,111.903514
9910.0,90,112.457896
10210.0,90,112.964498
8110.0,90,113.541348
9740.0,90,114.085544
10670.0,90,114.800509
10110.0,90,115.390722
9530.0,90,115.951002
8470.0,90,116.452438
9810.0,90,117.002181
8610.0,90,117.534969
9065.0,90,118.090427
9610.0,90,118.630352
10780.0,90,119.16284
9490.0,90,119.733493
9910.0,90,120.320333
11020.0,90,120.92637
8540.0,90,121.910616
9400.0,90,122.421034
9670.0,90,122.929343
9410.0,90,123.559183
8810.0,90,124.06386
9660.0,90,124.660878
9170.0,90,125.160895
8560.0,90,125.719767
10300.0,90,126.318682
9820.0,90,126.876443
9840.0,90,127.419456
9850.0,90,128.009113
9000.0,90,128.541612
10180.0,90,129.078751
9810.0,90,129.639436
9110.0,90,130.134449
9060.0,90,130.694316
6520.0,90,131.261435
8870.0,90,131.933059
7760.0,90,132.482328
8220.0,90,133.039997
9280.0,90,133.53871
9830.0,90,134.11092
8220.0,90,134.624469
9250.0,90,135.160153
10070.0,90,135.639785
7890.0,90,136.130979
10460.0,90,136.703061
9350.0,90,137.358386
9150.0,90,137.908819
9630.0,90,138.449058
9990.0,90,138.952481
8740.0,90,139.411001
7400.0,90,139.960392
10170.0,90,140.503145
9820.0,90,141.043434
9800.0,90,141.580119
10290.0,90,142.06091
8920.0,90,142.607559
9820.0,90,143.246185
9420.0,90,143.743707
10150.0,90,144.227696
9390.0,90,144.784137
10510.0,90,145.297126
9450.0,90,145.830533
7580.0,90,146.392713
10250.0,90,146.950657
6980.0,90,147.524381
9130.0,90,148.03814
9230.0,90,148.71663
9380.0,90,149.346676
9230.0,90,149.860299
8490.0,90,150.403563
9070.0,90,150.974771
8630.0,90,151.512594
8690.0,90,152.470828
6860.0,90,152.991079
8670.0,90,153.540373
9430.0,90,154.106048
9820.0,90,154.759308
10150.0,90,155.250937
10240.0,90,155.863013
10000.0,90,156.435072
10220.0,90,156.981807
9460.0,90,157.56389
7620.0,90,158.138983
9340.0,90,158.776998
9210.0,90,159.330835
8360.0,90,159.962568
8660.0,90,160.583271
8930.0,90,161.156389
8280.0,90,161.728436
7340.0,90,162.28928
8620.0,90,162.857295
8950.0,90,163.420693
9920.0,90,163.986204
9500.0,90,164.556567
10590.0,90,165.087145
10750.0,90,165.845542
9700.0,90,166.470605
9190.0,90,167.031721
8150.0,90,167.566922
8090.0,90,168.090455
8040.0,90,168.696438
9630.0,90,169.252619
10040.0,90,169.789507
11320.0,90,170.432824
8740.0,90,170.949034
9300.0,90,171.610793
10030.0,90,172.199483
10510.0,90,172.739692
8030.0,90,173.233174
8950.0,90,173.720426
9260.0,90,174.274453
8270.0,90,174.82158
10460.0,90,175.387872
9080.0,90,175.904526
9610.0,90,176.480209
10750.0,90,177.072933
8790.0,90,177.726417
9040.0,90,178.294439
7900.0,90,178.829806
10680.0,90,179.342703
8850.0,90,179.837685
10560.0,90,180.400893
8940.0,90,180.932317
8930.0,90,181.488065
9340.0,90,182.038085
9540.0,90,182.63919
8890.0,90,183.241176
8310.0,90,183.791803
10190.0,90,184.741415
9480.0,90,185.316717
9250.0,90,185.839647
8390.0,90,186.368078
9540.0,90,186.941218
8680.0,90,187.531952
9660.0,90,188.080498
9300.0,90,188.73447
10110.0,90,189.30955
9520.0,90,189.846503
9930.0,90,190.382071
9680.0,90,190.96737
10510.0,90,191.486096
9850.0,90,192.032598
11490.0,90,192.590785
8890.0,90,193.10603
7450.0,90,193.627454
11360.0,90,194.296695
8810.0,90,194.86388
9375.0,90,195.408233
9830.0,90,195.978449
10390.0,90,196.538219
10460.0,90,197.119531
8290.0,90,197.629631
11800.0,90,198.196032
8860.0,90,198.739173
9960.0,90,199.254766
9200.0,90,199.91482
7990.0,90,200.523643
9450.0,90,201.096376
9810.0,90,201.618054
11590.0,90,202.178828
10430.0,90,202.698494
10950.0,90,203.274874
9510.0,90,203.794295
9730.0,90,204.358274
8790.0,90,204.884301
8490.0,90,205.597075
9750.0,90,206.156586
9550.0,90,206.732007
8650.0,90,207.263189
9870.0,90,207.788118
7695.0,90,208.343479
10050.0,90,208.824651
10170.0,90,209.385205
9040.0,90,209.905421
9420.0,90,210.471838
10490.0,90,211.034044
9720.0,90,211.648959
10420.0,90,212.153231
9110.0,90,212.717155
9230.0,90,213.258398
10210.0,90,213.776305
9580.0,90,214.333385
10990.0,90,214.878871
10260.0,90,215.887957
9360.0,90,216.334395
8580.0,90,216.993525
9490.0,90,217.618601
10220.0,90,218.152137
9980.0,90,218.682336
11300.0,90,219.217034
10090.0,90,219.715591
8620.0,90,220.263833
9690.0,90,220.737346
9370.0,90,221.264265
8440.0,90,221.784479
8350.0,90,222.370462
10210.0,90,222.989773
11010.0,90,223.510023
9640.0,90,224.065747
7980.0,90,224.628757
9550.0,90,225.212279
9300.0,90,225.716397
9050.0,90,226.269917
8530.0,90,226.833661
8870.0,90,227.340226
10100.0,90,227.878248
7890.0,90,228.522282
8670.0,90,229.065494
8730.0,90,229.582036
8920.0,90,230.16716
8240.0,90,230.683572
9550.0,90,231.238978
10370.0,90,231.770312
8040.0,90,232.304292
9230.0,90,232.781932
6700.0,90,233.291955
5200.0,90,233.998999
9950.0,90,234.613824
8410.0,90,235.145713
9270.0,90,235.686866
9350.0,90,236.219051
9900.0,90,236.724685
10690.0,90,237.298554
9790.0,90,237.828349
8910.0,90,238.370777
9050.0,90,238.882964
8260.0,90,239.418832
8900.0,90,240.01739
10530.0,90,240.573075
10280.0,90,241.102207
10330.0,90,241.652826
9390.0,90,242.20986
9270.0,90,242.703085
7950.0,90,243.344544
7970.0,90,243.857458
9220.0,90,244.402607
11200.0,90,244.937605
9540.0,90,245.550566
9460.0,90,246.044671
9660.0,90,247.100904
10150.0,90,247.615077
10730.0,90,248.170031
9280.0,90,248.678948
9080.0,90,249.218286
10790.0,90,249.7243
9080.0,90,250.28837
8720.0,90,250.874432
8040.0,90,251.435164
9140.0,90,251.98755
10720.0,90,252.533349
9200.0,90,253.161075
7960.0,90,253.700226
9800.0,90,254.264228
7850.0,90,254.781074
9000.0,90,255.32425
8740.0,90,255.806536
8040.0,90,256.452216
8810.0,90,257.044121
9480.0,90,257.592624
10330.0,90,258.125702
10670.0,90,258.640555
9580.0,90,259.374246
9310.0,90,259.891432
10090.0,90,260.443971
10800.0,90,261.032802
7940.0,90,261.572688
8830.0,90,262.156058
8910.0,90,262.838804
8390.0,90,263.358577
9930.0,90,263.898729
9480.0,90,264.426991
10060.0,90,265.067795
8760.0,90,265.592419
10350.0,90,266.122349
9280.0,90,266.688564
9220.0,90,267.203416
9520.0,90,267.783376
10420.0,90,268.376712
10160.0,90,268.966492
10470.0,90,269.48018
9210.0,90,270.030004
11600.0,90,270.598198
9980.0,90,271.116083
10180.0,90,271.728346
10450.0,90,272.275405
9800.0,90,272.786069
9660.0,90,273.346606
9420.0,90,273.992209
8890.0,90,274.521178
9190.0,90,275.112537
9970.0,90,275.637913
9260.0,90,276.178519
8860.0,90,276.698298
8560.0,90,277.256879
11180.0,90,277.803374
9460.0,90,279.001339
10950.0,90,279.734374
10390.0,90,280.274581
11180.0,90,280.803247
11060.0,90,281.353194
9900.0,90,281.915673
10350.0,90,282.479955
9750.0,90,282.974581
9220.0,90,283.548648
10220.0,90,284.101606
8640.0,90,284.697845
9710.0,90,285.356914
9350.0,90,285.935444
9040.0,90,286.455923
9260.0,90,287.000132
9840.0,90,287.530798
10490.0,90,288.080511
9280.0,90,288.619221
9750.0,90,289.195315
10710.0,90,289.741839
9280.0,90,290.29908
9520.0,90,290.962661
10490.0,90,291.522993
10260.0,90,292.098532
6600.0,90,292.596143
9950.0,90,293.165623
7960.0,90,293.695421
10760.0,90,294.27359
8950.0,90,294.780908
10110.0,90,295.329094
10830.0,90,295.868567
8700.0,90,296.482442
8430.0,90,297.078878
8550.0,90,297.671543
8810.0,90,298.219599
9900.0,90,298.769628
9580.0,90,299.348908
8940.0,90,299.848856
10530.0,90,300.452564
8690.0,90,300.930841
8660.0,90,301.433977
9860.0,90,302.043622
10250.0,90,302.58507
12000.0,90,303.161335
11210.0,90,303.703848
10770.0,90,304.282418
9750.0,90,304.826829
8690.0,90,305.361951
9090.0,90,305.874643
9630.0,90,306.42265
8630.0,90,306.974746
9760.0,90,307.484695
9120.0,90,308.124038
9240.0,90,308.636239
9340.0,90,309.176145
8960.0,90,310.150884
9310.0,90,310.706727
10880.0,90,311.217714
11480.0,90,311.759483
10040.0,90,312.282179
10760.0,90,312.832273
9630.0,90,313.469837
9680.0,90,314.019602
9010.0,90,314.56206
9240.0,90,315.155753
10280.0,90,315.687552
10360.0,90,316.262833
8760.0,90,316.78485
8150.0,90,317.322498
11230.0,90,317.850142
10340.0,90,318.39582
8370.0,90,318.995913
8600.0,90,319.591488
8520.0,90,320.143133
10370.0,90,320.670557
9100.0,90,321.204624
9720.0,90,321.711715
9110.0,90,322.293248
8570.0,90,322.774318
9540.0,90,323.292576
9430.0,90,323.846057
11000.0,90,324.411026
11080.0,90,325.090788
8370.0,90,325.634622
10840.0,90,326.163553
9700.0,90,326.667434
10470.0,90,327.221354
8920.0,90,327.711631
8610.0,90,328.274923
10470.0,90,328.822106
10070.0,90,329.33344
8600.0,90,329.897026
8140.0,90,330.490237
10280.0,90,331.054588
10990.0,90,331.593415
10180.0,90,332.142273
7180.0,90,332.660707
8760.0,90,333.2912
7840.0,90,333.808808
9030.0,90,334.351288
8300.0,90,334.900708
9290.0,90,335.424008
8660.0,90,336.035279
11020.0,90,336.607888
9940.0,90,337.149135
8170.0,90,337.716761
8660.0,90,338.268194
8970.0,90,338.746446
10700.0,90,339.310868
9310.0,90,339.849034
8270.0,90,340.379405
8320.0,90,341.295181
8210.0,90,341.942599
5930.0,90,342.516086
11730.0,90,343.059043
9460.0,90,343.615503
8250.0,90,344.199761
10140.0,90,344.703319
10350.0,90,345.262596
8770.0,90,345.758647
10170.0,90,346.240047
8800.0,90,346.778302
11830.0,90,347.377047
10870.0,90,347.974486
10290.0,90,348.532959
9220.0,90,349.074458
10080.0,90,349.604912
9610.0,90,350.18874
9460.0,90,350.703623
10390.0,90,351.272483
8250.0,90,351.795568
9340.0,90,352.328368
8340.0,90,352.946435
10680.0,90,353.58762
10860.0,90,354.124292
10000.0,90,354.667945
9760.0,90,355.204436
9140.0,90,355.674287
9360.0,90,356.191295
