#{"t_start": 1763550824.1888957, "env_id": "HealthcareEnv-v0"}
r,l,t
1615.0,90,0.384843
1920.0,90,0.809404
2530.0,90,1.202041
1470.0,90,1.604853
1030.0,90,2.012496
-2060.0,90,2.412041
-1560.0,90,2.806774
3215.0,90,3.112353
3715.0,90,3.525949
3215.0,90,3.875659
4095.0,90,4.241224
3785.0,90,4.642044
4780.0,90,5.050977
4405.0,90,5.563697
4170.0,90,5.967999
5075.0,90,6.403461
4520.0,90,6.813828
3930.0,90,7.194073
5830.0,90,7.590624
5530.0,90,8.010589
5025.0,90,8.420861
4850.0,90,8.81266
6775.0,90,9.274681
6155.0,90,9.66532
6545.0,90,10.044584
5615.0,90,10.483186
6290.0,90,10.926354
4540.0,90,11.349822
4655.0,90,11.660482
4690.0,90,12.055944
5330.0,90,12.403517
6110.0,90,12.783503
6405.0,90,13.177855
5915.0,90,13.506587
6800.0,90,13.848184
6385.0,90,14.248228
5890.0,90,14.654857
5525.0,90,15.049839
7325.0,90,15.457894
6720.0,90,15.854068
6100.0,90,16.282475
6430.0,90,16.738537
5465.0,90,17.128985
6045.0,90,17.538231
6550.0,90,17.952157
7600.0,90,18.268244
5890.0,90,18.585616
7655.0,90,18.987842
7375.0,90,19.399138
6025.0,90,19.786504
7350.0,90,20.203331
6580.0,90,20.599985
6650.0,90,21.0226
7590.0,90,21.43115
8260.0,90,21.87053
5410.0,90,22.791812
5575.0,90,23.177608
7475.0,90,23.665512
6770.0,90,24.057477
7110.0,90,24.46968
7485.0,90,24.898238
7320.0,90,25.290315
6995.0,90,25.692524
5385.0,90,26.046741
7770.0,90,26.461451
7135.0,90,26.859154
7735.0,90,27.284005
8915.0,90,27.716446
10220.0,90,28.112821
7700.0,90,28.518874
8500.0,90,28.907184
7285.0,90,29.308532
6635.0,90,29.703184
6975.0,90,30.159658
9540.0,90,30.577463
6815.0,90,30.970693
7895.0,90,31.33638
7755.0,90,31.793152
7430.0,90,32.188702
7045.0,90,32.60402
7040.0,90,33.038649
7615.0,90,33.413611
7995.0,90,33.816218
9050.0,90,34.227908
7860.0,90,34.6175
6725.0,90,35.017524
7215.0,90,35.406452
9775.0,90,35.804137
7575.0,90,36.260609
7670.0,90,36.665452
6460.0,90,37.074384
9100.0,90,37.479056
7350.0,90,37.884089
9695.0,90,38.28352
7995.0,90,38.727501
7235.0,90,39.231121
7570.0,90,39.651018
8070.0,90,40.065143
8840.0,90,40.442497
8380.0,90,40.846339
9895.0,90,41.296588
9960.0,90,41.727086
5455.0,90,42.146658
8805.0,90,42.577222
7290.0,90,42.92831
8775.0,90,43.332888
7770.0,90,43.76346
7350.0,90,44.127577
8170.0,90,44.617285
9240.0,90,45.042189
7830.0,90,45.455267
5785.0,90,46.572106
6805.0,90,46.986784
9525.0,90,47.389058
9280.0,90,47.651253
7460.0,90,48.029613
7735.0,90,48.465128
8670.0,90,48.844674
5940.0,90,49.250008
7875.0,90,49.679589
8670.0,90,50.102216
8400.0,90,50.563639
8860.0,90,50.993115
6920.0,90,51.400899
7655.0,90,51.786608
7950.0,90,52.209599
8760.0,90,52.601606
6680.0,90,53.00292
9330.0,90,53.423516
8030.0,90,53.823629
9170.0,90,54.220281
8440.0,90,54.636022
8130.0,90,55.001478
8025.0,90,55.411232
6200.0,90,55.922444
8260.0,90,56.314681
9200.0,90,56.744211
9305.0,90,57.130123
7150.0,90,57.415297
8850.0,90,57.811512
7175.0,90,58.225015
4740.0,90,58.604582
9920.0,90,58.999413
6940.0,90,59.421498
8610.0,90,59.858229
6315.0,90,60.217947
8250.0,90,60.631471
8235.0,90,61.099528
9065.0,90,61.536992
8520.0,90,61.83169
8165.0,90,62.246281
8105.0,90,62.689983
9050.0,90,63.105996
8425.0,90,63.51374
10000.0,90,63.935258
6860.0,90,64.349812
9095.0,90,64.755064
6990.0,90,65.1647
7055.0,90,65.553322
7620.0,90,65.894617
9310.0,90,66.315932
7970.0,90,66.72574
8475.0,90,67.127901
8240.0,90,67.544077
7410.0,90,67.881298
7660.0,90,68.27746
7935.0,90,69.326521
7830.0,90,69.651602
8885.0,90,70.061281
8810.0,90,70.370236
9110.0,90,70.792529
6915.0,90,71.249619
9650.0,90,71.67126
9030.0,90,72.073125
8615.0,90,72.495414
9290.0,90,72.916792
7295.0,90,73.311382
