#{"t_start": 1763493762.6290798, "env_id": "HealthcareEnv-v0"}
r,l,t
-195.0,90,2.054382
1500.0,90,2.093741
1400.0,90,2.110979
25.0,90,2.130428
1125.0,90,2.163537
390.0,90,2.187079
2900.0,90,2.205677
3135.0,90,2.220227
-1365.0,90,2.251904
895.0,90,2.284919
3780.0,90,2.294363
1175.0,90,2.598001
-4505.0,89,2.824592
2085.0,90,2.993751
3900.0,90,3.19401
2535.0,90,3.380511
1515.0,78,3.562171
4945.0,90,3.773268
2690.0,90,3.969294
1005.0,90,4.132677
4150.0,85,4.329476
3520.0,90,4.597636
3965.0,90,4.797024
3935.0,89,4.976532
-2240.0,82,5.165699
5780.0,90,5.350884
4705.0,90,5.520737
3500.0,90,5.725948
3680.0,90,5.954493
6090.0,90,6.143207
3175.0,90,6.319241
5455.0,90,6.520052
5405.0,90,6.719933
5870.0,90,6.897273
5015.0,90,7.108265
5515.0,85,7.297818
4290.0,90,7.496956
5315.0,90,7.69341
6280.0,90,7.873575
6135.0,90,8.089578
6340.0,90,8.378897
5185.0,90,8.579623
5830.0,90,8.800827
5545.0,90,8.994428
6405.0,90,9.228827
7320.0,90,9.461081
7975.0,90,9.688621
5070.0,90,9.901441
6690.0,90,10.14221
6835.0,90,10.367821
5070.0,90,10.672849
5815.0,90,10.855218
4570.0,90,11.116756
8135.0,90,11.326235
6315.0,90,11.510701
7110.0,90,12.295526
6455.0,90,12.591574
7735.0,90,12.93979
6785.0,90,13.173158
3855.0,90,13.403414
5670.0,90,13.633233
6115.0,90,13.841505
4260.0,90,14.091596
4130.0,86,14.30424
2745.0,90,14.543477
7040.0,90,14.757765
7280.0,90,14.981432
5895.0,90,15.212672
6500.0,90,15.443666
5925.0,90,15.677763
5590.0,90,15.893733
6160.0,90,16.110323
6670.0,90,16.383807
3750.0,90,16.582844
6300.0,90,16.783437
6575.0,90,17.006987
4450.0,90,17.259642
5165.0,90,17.589564
3410.0,90,17.883683
5465.0,90,18.111654
6555.0,90,18.386845
6175.0,90,18.607518
