#{"t_start": 1763547631.0164511, "env_id": "HealthcareEnv-v0"}
r,l,t
2455.0,90,0.035942
1065.0,90,0.05615
720.0,90,0.072991
545.0,90,0.08921
1785.0,90,0.105946
280.0,90,0.131819
1915.0,90,0.148272
2600.0,90,0.171593
1005.0,90,0.204143
-240.0,90,0.231834
2030.0,90,0.249519
2470.0,90,0.374394
3735.0,90,0.620061
3225.0,90,0.801151
3710.0,90,0.986071
3890.0,90,1.222522
3745.0,90,1.520389
5370.0,90,1.749242
5560.0,90,1.972331
6995.0,90,2.163805
3370.0,90,2.394944
5810.0,82,2.585995
4715.0,90,2.810035
7420.0,90,3.052373
6065.0,90,3.265777
5470.0,90,3.477867
6235.0,90,3.715164
6085.0,90,3.891681
5400.0,90,4.123039
4805.0,90,4.339228
7805.0,90,4.551301
7875.0,90,4.771676
6270.0,90,4.988512
8090.0,90,5.165005
4565.0,90,5.40648
4440.0,90,5.621614
7135.0,90,5.826838
6315.0,90,6.00986
7520.0,90,6.218713
7760.0,90,6.441146
7275.0,90,6.731902
5485.0,90,6.939458
7145.0,90,7.14269
5650.0,90,7.344081
4580.0,90,7.602279
5680.0,90,7.865885
6045.0,90,8.081545
860.0,90,8.337684
4635.0,90,8.567872
7850.0,90,8.811926
3755.0,90,9.060399
7145.0,90,9.283722
6500.0,90,9.511122
4470.0,90,9.744937
3025.0,90,10.004636
5165.0,90,10.631971
3000.0,90,10.868216
4985.0,90,11.150676
7245.0,90,11.399992
5305.0,90,11.652433
6330.0,90,11.965689
3960.0,90,12.278295
6055.0,90,12.569465
4430.0,90,12.795753
6800.0,90,13.064453
4060.0,90,13.28806
4200.0,90,13.561319
6535.0,90,13.797069
4765.0,90,14.070195
5080.0,90,14.292516
4865.0,90,14.547963
4555.0,90,14.802112
5360.0,90,15.093114
6260.0,90,15.339555
6275.0,90,15.569888
8290.0,90,15.802886
4090.0,58,16.008184
4485.0,90,16.26045
3720.0,90,16.484154
4950.0,90,16.721485
2530.0,90,17.006087
3410.0,77,17.233669
3955.0,90,17.51349
3890.0,90,17.856246
6545.0,90,18.14427
7035.0,90,18.429346
5620.0,90,18.661341
5970.0,90,18.900873
6395.0,90,19.144708
4185.0,90,19.40371
5205.0,90,19.662442
2810.0,90,19.900169
5245.0,80,20.119759
6145.0,90,20.35769
4370.0,90,20.65769
5950.0,90,20.921082
3700.0,90,21.15419
6710.0,90,21.394356
4540.0,90,21.636953
6305.0,90,21.929142
4190.0,90,22.184444
5455.0,90,22.424128
5840.0,90,22.66051
7860.0,90,23.082115
4130.0,90,23.531932
5195.0,90,23.940123
5205.0,90,24.339752
5680.0,90,24.681954
2335.0,90,25.067739
3680.0,90,25.451034
2830.0,90,25.817376
4150.0,90,26.784502
8455.0,90,27.099388
3105.0,90,27.451861
6210.0,90,27.769435
5135.0,90,28.144286
5995.0,90,28.555387
4805.0,90,28.995021
4025.0,90,29.390285
5740.0,90,29.740302
6895.0,90,30.103083
4965.0,90,30.461124
5095.0,90,30.812715
4555.0,90,31.171377
4445.0,84,31.505862
5500.0,90,31.847686
8705.0,90,32.205927
6535.0,90,32.524296
5290.0,90,32.833719
2330.0,90,33.126023
4455.0,90,33.500451
8505.0,90,33.847705
6835.0,90,34.325923
5930.0,90,34.647812
2705.0,90,35.045633
7680.0,90,35.381975
6345.0,90,35.738015
6210.0,90,36.010804
9605.0,90,36.34971
6680.0,90,36.693543
6040.0,90,37.034524
4290.0,90,37.408072
5660.0,90,37.617564
4625.0,90,37.987913
6435.0,90,38.341858
4420.0,90,38.69918
4430.0,90,39.021847
4790.0,90,39.390938
6260.0,74,39.769705
4820.0,90,40.123461
5230.0,90,40.421365
7330.0,90,40.744269
8210.0,90,41.175823
4745.0,90,41.522752
5095.0,90,41.877692
7650.0,90,42.235848
5635.0,90,42.559677
5600.0,90,42.93437
4995.0,90,43.30225
5070.0,90,43.63583
4085.0,69,43.891977
5875.0,90,44.173472
6955.0,90,44.472342
8185.0,90,44.778803
7660.0,90,45.186995
5305.0,77,45.527009
6945.0,90,45.883595
3265.0,90,46.728874
2080.0,90,47.022825
3715.0,77,47.274523
4185.0,90,47.581775
4050.0,90,47.897133
5070.0,90,48.254786
4405.0,89,48.581733
3120.0,90,48.890287
2810.0,86,49.221322
6960.0,90,49.634248
7790.0,90,49.977324
5690.0,90,50.33761
6460.0,90,50.707395
4240.0,90,51.088373
4960.0,76,51.420159
7575.0,90,51.732459
5420.0,90,52.0811
5340.0,90,52.458811
4140.0,90,52.842662
8745.0,90,53.073753
8990.0,90,53.331625
6915.0,90,53.691597
4985.0,86,53.948317
4700.0,62,54.083828
7365.0,90,54.407965
4795.0,90,54.733928
9005.0,90,55.093285
8470.0,90,55.453378
6210.0,90,55.813393
6675.0,71,56.156051
2520.0,62,56.430037
3190.0,56,56.693429
2635.0,69,56.883583
6730.0,90,57.228499
6835.0,86,57.524315
3600.0,76,57.757905
4725.0,90,58.070638
7710.0,90,58.444986
3950.0,90,58.782081
3005.0,82,59.114407
7485.0,90,59.471359
6450.0,90,59.845856
7480.0,88,60.116128
2920.0,87,60.411681
3080.0,90,60.721722
4465.0,86,61.08634
3930.0,88,61.37325
5980.0,90,61.759346
7495.0,90,62.13657
7925.0,90,62.494537
3295.0,90,62.865723
1050.0,90,63.111388
3900.0,78,63.415068
4600.0,90,63.771939
6125.0,90,64.081642
1955.0,90,64.428236
4825.0,85,64.78789
3640.0,73,65.062431
9455.0,90,65.383954
5330.0,90,66.175349
8050.0,90,66.532076
8210.0,90,66.936217
5805.0,90,67.317306
7710.0,90,67.667413
3990.0,76,67.965188
5855.0,90,68.31278
3745.0,90,68.605095
2800.0,64,68.816607
3490.0,56,69.033314
4535.0,90,69.417998
4865.0,78,69.716318
6240.0,90,70.065975
7470.0,78,70.376027
2720.0,89,70.704247
4000.0,90,70.971955
6985.0,90,71.311711
4345.0,67,71.526052
4840.0,90,71.859977
6085.0,76,72.116292
7790.0,90,72.404616
3880.0,59,72.672396
3320.0,75,73.076644
4540.0,89,73.421167
2715.0,90,73.767387
6010.0,75,74.042292
5910.0,90,74.379719
7380.0,90,74.65343
6905.0,90,74.959822
3310.0,90,75.352849
-775.0,60,75.627517
-2420.0,40,75.784986
-380.0,42,75.959396
5440.0,89,76.313634
3120.0,77,76.667402
1185.0,57,76.89284
6835.0,90,77.199929
4160.0,83,77.449687
1150.0,51,77.679907
