#{"t_start": 1763494152.4517522, "env_id": "HealthcareEnv-v0"}
r,l,t
1940.0,90,2.146458
475.0,90,2.205689
1015.0,90,2.305415
-105.0,90,2.380729
650.0,90,2.446696
865.0,90,2.556362
1955.0,90,2.626551
1825.0,90,2.701115
3040.0,90,2.784848
-265.0,89,2.860693
1380.0,86,2.938455
-1695.0,90,3.020244
1275.0,90,3.098694
980.0,90,3.191012
3315.0,90,3.262866
1785.0,90,3.339541
880.0,82,3.416058
2520.0,90,3.488706
3180.0,90,3.559237
1715.0,90,3.666638
2035.0,90,3.728148
665.0,90,3.8053
2205.0,90,6.879783
3640.0,85,7.072168
3390.0,90,7.209808
2945.0,90,7.311259
-360.0,90,7.392493
3865.0,90,7.473223
3420.0,90,7.542464
135.0,90,7.706934
70.0,90,7.764797
975.0,90,7.846833
3770.0,86,7.919558
1840.0,90,7.986439
2280.0,90,8.057966
3085.0,90,8.119646
3385.0,90,8.215213
1840.0,90,8.312526
2935.0,90,8.390205
2555.0,90,8.446481
175.0,90,8.521319
1620.0,90,8.604696
3060.0,90,8.678846
2245.0,90,8.761581
3660.0,87,8.838032
2595.0,90,12.062133
3345.0,90,12.232314
3280.0,83,12.293985
3725.0,90,12.428497
2430.0,90,12.527724
-205.0,90,12.655583
2955.0,90,12.705184
2030.0,90,12.805801
4040.0,90,12.902755
3210.0,90,12.974147
3895.0,90,13.460836
1560.0,90,13.552382
4780.0,90,13.632175
3875.0,90,13.711895
2600.0,90,13.789288
4450.0,90,13.854824
2375.0,90,14.038413
3390.0,90,14.100745
2175.0,90,14.174739
-340.0,83,14.247611
3515.0,90,14.309927
2885.0,90,14.404708
5110.0,90,14.49662
1775.0,90,18.246779
4410.0,85,18.406136
3880.0,90,18.485905
3940.0,87,18.576264
3160.0,86,18.663782
5320.0,90,18.747391
4000.0,90,18.815691
5160.0,90,18.897136
1870.0,90,18.976263
5815.0,90,19.062681
3555.0,87,19.125918
2150.0,82,19.200335
2460.0,90,19.276519
3020.0,90,19.346787
2500.0,90,19.428644
2275.0,90,19.509242
3020.0,90,19.591044
6790.0,90,19.676345
4460.0,90,19.854778
2980.0,90,19.928903
5225.0,90,19.988966
4270.0,90,20.13672
3985.0,90,20.210781
4150.0,90,23.435136
3915.0,90,23.623433
3665.0,90,23.684437
4130.0,90,23.754788
5080.0,90,23.884356
4175.0,90,24.022222
4245.0,90,24.095077
5420.0,90,24.164325
4330.0,90,24.244803
5325.0,90,24.348081
4845.0,90,24.405521
2010.0,84,24.487227
6370.0,90,24.56369
4485.0,90,24.627135
5225.0,90,24.703576
3800.0,90,24.778583
5505.0,90,24.853384
5475.0,90,24.933285
4805.0,90,25.011429
3715.0,90,25.079015
5875.0,90,25.546837
2470.0,90,25.619645
6290.0,90,25.707884
4500.0,87,28.835557
6180.0,87,29.026106
3195.0,90,29.122555
5895.0,90,29.180902
4780.0,90,29.256638
6615.0,90,29.337343
5935.0,90,29.396305
3800.0,90,29.496819
5545.0,90,29.576423
6085.0,90,29.651923
5845.0,90,29.728921
5460.0,90,29.819994
5735.0,90,29.881771
5660.0,90,29.961376
6090.0,90,30.08918
5875.0,90,30.154922
4805.0,90,30.217906
4360.0,90,30.284005
5920.0,90,30.355726
5335.0,90,30.421567
4600.0,90,30.496344
5665.0,90,30.57663
4505.0,90,30.642965
6010.0,90,33.913469
5200.0,90,34.025316
5540.0,90,34.092894
5400.0,90,34.206046
6705.0,90,34.286568
7610.0,90,34.499866
6150.0,90,34.573022
4805.0,90,34.670816
6790.0,90,34.743059
7635.0,90,34.812465
5775.0,85,34.889606
5020.0,90,34.946837
7435.0,90,35.028135
5415.0,90,35.113174
5965.0,90,35.183754
6115.0,87,35.25458
6000.0,90,35.33394
5220.0,90,35.400544
6430.0,89,35.476314
5335.0,90,35.561127
4685.0,81,35.626046
6475.0,90,35.702261
7085.0,90,35.865183
4655.0,90,39.002948
5650.0,90,39.109119
7510.0,90,39.1739
8150.0,90,39.265749
6545.0,90,39.3415
4975.0,90,39.407505
5835.0,90,39.456777
5720.0,90,39.958779
8020.0,90,40.027409
5580.0,90,40.101119
6740.0,90,40.182344
6820.0,90,40.271294
6495.0,90,40.341283
7255.0,90,40.468947
4615.0,90,40.52512
5480.0,90,40.596899
6290.0,90,40.674226
6885.0,90,40.740029
7695.0,90,40.811499
6730.0,90,40.896644
7220.0,90,40.972148
6055.0,90,41.042884
7430.0,90,41.121468
7665.0,90,44.515538
7085.0,90,44.604304
8785.0,90,44.678526
6435.0,90,44.73682
8450.0,90,44.818454
7545.0,90,44.950303
6330.0,90,45.131246
6600.0,90,45.247951
6630.0,90,45.296904
6225.0,90,45.375329
6325.0,90,45.504385
5825.0,90,45.571434
7310.0,90,45.637738
6150.0,90,45.712076
5890.0,90,45.78673
6105.0,90,45.868828
6810.0,90,45.946603
6635.0,90,46.011097
5660.0,90,46.093107
7785.0,90,46.226493
6655.0,90,46.298537
7950.0,90,46.369393
8220.0,90,49.458168
7995.0,90,49.64065
7530.0,90,49.720996
7605.0,90,49.783934
7540.0,90,49.860509
6825.0,90,49.920919
6715.0,90,49.998737
5810.0,90,50.068821
5195.0,90,50.130469
8820.0,90,50.209271
7625.0,90,50.316155
6625.0,90,50.416995
7935.0,89,50.537173
6565.0,90,50.620956
5625.0,90,50.678963
4905.0,90,50.78155
8815.0,90,50.86755
8360.0,90,50.942093
8025.0,90,51.372254
9270.0,90,51.4482
7745.0,90,51.520804
8500.0,90,51.58921
8805.0,90,51.664802
7540.0,90,54.849172
8450.0,90,54.996518
7630.0,90,55.059665
6980.0,90,55.137209
6845.0,90,55.204375
8290.0,90,55.268071
7065.0,90,55.363071
6970.0,90,55.437566
8905.0,90,55.498553
8025.0,88,55.576488
9075.0,90,55.692602
8240.0,90,55.783237
6465.0,90,55.904907
7430.0,90,55.975538
7785.0,90,56.061134
7975.0,90,56.141781
7470.0,90,56.23328
7580.0,90,56.305515
8735.0,90,56.372079
8825.0,90,56.535166
7365.0,90,56.59171
6670.0,90,56.665632
7420.0,90,56.747192
7950.0,90,59.816463
8250.0,90,59.952756
7895.0,90,60.026243
6615.0,90,60.107234
7895.0,90,60.189516
7365.0,90,60.255195
7090.0,90,60.32864
8085.0,90,60.405384
7910.0,90,60.468244
8270.0,90,60.54982
7470.0,90,60.613863
7890.0,90,60.748811
8110.0,90,60.809288
7995.0,90,61.028025
7690.0,90,61.166206
7380.0,90,61.284895
6485.0,90,61.369049
8730.0,90,61.435045
10550.0,90,61.508373
6390.0,90,61.572102
7955.0,90,61.646462
8775.0,90,61.715258
7590.0,90,61.772261
7385.0,90,64.995339
8780.0,90,65.099224
8525.0,90,65.171556
8520.0,90,65.262109
8565.0,90,65.692357
7940.0,90,65.766364
6870.0,90,65.828303
7980.0,90,65.913722
8360.0,90,65.960122
7470.0,90,66.064287
8430.0,90,66.148459
8085.0,90,66.223277
6640.0,90,66.289148
7815.0,90,66.399223
8940.0,90,66.514828
7930.0,90,66.617987
6625.0,90,66.729256
7590.0,90,66.82611
8640.0,90,66.896214
7095.0,90,66.962684
7685.0,90,67.047505
7530.0,90,67.109356
7985.0,90,70.239429
8740.0,90,70.42081
7030.0,90,70.486925
8605.0,90,70.588292
7715.0,90,70.665326
7695.0,90,70.72088
7160.0,90,70.791441
8970.0,90,70.873638
7760.0,90,70.936007
6220.0,90,71.070534
8850.0,90,71.148986
9040.0,90,71.215922
8105.0,90,71.313017
9155.0,90,71.412457
8850.0,90,71.477405
5825.0,90,71.556266
7320.0,90,71.622151
7740.0,90,71.742425
8075.0,90,71.85506
7780.0,90,71.976674
6830.0,90,72.07704
7025.0,90,72.15042
7010.0,90,72.222456
8780.0,90,75.522519
7800.0,90,75.664395
7060.0,90,75.724564
8845.0,90,75.796615
8245.0,90,75.89263
5525.0,90,75.962573
7095.0,90,76.031789
8905.0,90,76.107503
7830.0,90,76.171762
7770.0,90,76.250287
10040.0,90,76.332799
8675.0,90,76.403146
8450.0,90,76.477579
8480.0,90,76.564189
9595.0,90,76.643956
7365.0,90,77.147991
7975.0,90,77.246567
8030.0,90,77.383557
7085.0,90,77.473145
7350.0,90,77.554045
6885.0,90,77.61362
7510.0,90,77.694232
7620.0,90,77.772424
8340.0,90,81.03881
8050.0,90,81.166455
7675.0,90,81.237167
7040.0,90,81.307547
8660.0,90,81.371676
6800.0,90,81.449882
8520.0,90,81.519073
8265.0,90,81.591146
7735.0,90,81.677853
6770.0,90,81.752135
8190.0,90,81.841923
8180.0,90,81.911677
7515.0,90,81.985748
8285.0,90,82.071491
6805.0,90,82.146444
8085.0,90,82.206552
7415.0,90,82.291412
9010.0,90,82.372941
7795.0,90,82.466377
7310.0,90,82.599962
7960.0,90,82.70761
6880.0,90,82.853965
6160.0,90,82.921516
8990.0,90,86.15462
7275.0,90,86.258231
7445.0,90,86.326526
9110.0,90,86.408414
9835.0,90,86.474554
9380.0,90,86.560718
8840.0,90,86.638475
7685.0,90,86.706642
8485.0,90,86.782349
7160.0,90,86.869769
7030.0,90,86.926838
8255.0,90,87.015047
8520.0,90,87.098434
8090.0,90,87.176167
8260.0,90,87.249992
7920.0,90,87.363635
8550.0,85,87.457825
7795.0,90,87.528123
7340.0,90,87.58393
9270.0,90,87.665431
8575.0,90,87.730923
9805.0,90,87.796334
7820.0,90,91.198625
8870.0,90,91.389703
6895.0,90,91.448805
8475.0,90,91.857566
6950.0,90,91.954803
8435.0,90,92.03229
8365.0,90,92.10424
8845.0,90,92.176183
9905.0,90,92.245147
8910.0,90,92.326619
9115.0,90,92.405655
8080.0,90,92.48208
9210.0,90,92.563256
8400.0,90,92.637434
8720.0,90,92.701961
7345.0,90,92.773645
8085.0,90,92.830879
7500.0,90,92.912537
8545.0,90,92.998141
7365.0,90,93.096602
9405.0,90,93.179291
5060.0,90,93.277171
9580.0,90,93.402137
8335.0,90,96.663336
7805.0,90,96.806039
7055.0,90,96.861689
6695.0,90,96.937533
7650.0,90,97.023979
8240.0,90,97.090664
9280.0,90,97.171311
8150.0,90,97.254357
7945.0,90,97.326288
8260.0,90,97.401206
9130.0,90,97.479373
8685.0,90,97.558929
8105.0,90,97.724884
8775.0,90,97.780582
8705.0,90,97.861967
8195.0,90,97.930393
7775.0,90,97.998014
7155.0,90,98.089755
6565.0,90,98.17212
8275.0,90,98.228003
8820.0,90,98.309199
8540.0,90,98.389312
7770.0,90,98.446923
7785.0,90,101.960202
8715.0,90,102.073972
8940.0,90,102.137895
6010.0,90,102.240285
7670.0,90,102.330028
7480.0,90,102.405216
9030.0,90,102.476759
6935.0,90,102.546542
6800.0,90,102.605586
7130.0,90,102.681519
10855.0,90,102.793674
8985.0,90,102.861337
8025.0,90,103.244379
7915.0,90,103.311334
9000.0,90,103.430881
7910.0,90,103.498229
8140.0,90,103.562058
7710.0,90,103.639791
8460.0,90,103.711987
7685.0,90,103.770427
7230.0,90,103.859216
8360.0,90,103.943777
6565.0,90,104.011672
6960.0,90,107.274059
8645.0,90,107.389206
7875.0,90,107.446728
8215.0,90,107.52804
7790.0,90,107.604061
8450.0,90,107.671465
7460.0,90,107.730199
9640.0,90,107.816728
9060.0,90,107.891323
7290.0,90,108.016272
9390.0,90,108.088515
5840.0,90,108.151735
8965.0,90,108.210593
9280.0,90,108.30127
8860.0,90,108.375977
9890.0,90,108.456249
9285.0,90,108.522896
9095.0,90,108.62039
8490.0,90,108.696434
8230.0,90,108.765357
7960.0,90,108.836517
7970.0,90,108.91551
8345.0,90,112.398466
7155.0,90,112.601782
7385.0,90,112.657884
10115.0,90,112.753622
7070.0,90,112.825802
9140.0,90,112.874483
7580.0,90,112.955955
8635.0,90,113.027564
8285.0,90,113.097339
7685.0,90,113.175206
8045.0,90,113.271748
8685.0,90,113.358019
7060.0,90,113.421599
7940.0,90,113.512885
6955.0,90,113.591022
8090.0,90,113.655162
9335.0,90,113.721982
8755.0,90,113.840338
9450.0,90,113.907598
8990.0,90,113.977692
8630.0,90,114.046598
8865.0,90,114.112398
7130.0,90,114.1876
8200.0,90,117.826
7250.0,90,117.980825
9520.0,90,118.048384
7360.0,90,118.119486
9130.0,90,118.196661
7750.0,90,118.265213
8935.0,90,118.393868
8235.0,90,118.461627
8445.0,90,118.546753
8030.0,90,118.605314
9085.0,90,118.694507
8195.0,90,118.770691
8495.0,90,118.84033
6970.0,90,118.903539
8845.0,90,118.984038
9845.0,90,119.053203
8840.0,90,119.128663
7495.0,90,119.196405
9075.0,90,119.264118
8340.0,90,119.333908
9845.0,90,119.408649
7360.0,90,119.516276
9895.0,90,119.58466
9535.0,90,122.979824
8705.0,90,123.104077
9355.0,90,123.187334
8125.0,90,123.246758
8380.0,90,123.330807
8640.0,90,123.411819
7995.0,90,123.471683
7355.0,90,123.555126
7750.0,90,123.627133
7565.0,90,123.679216
8850.0,90,123.757803
8480.0,90,123.839199
6580.0,90,123.911422
8390.0,90,124.020973
7545.0,90,124.12113
8345.0,90,124.191922
9275.0,90,124.246481
7945.0,90,124.320877
8965.0,90,124.396653
8420.0,90,124.464847
8855.0,90,124.547519
8660.0,90,124.622543
6890.0,90,124.695318
8585.0,90,128.12267
8025.0,90,128.220695
7035.0,90,128.276004
8510.0,90,128.356681
10510.0,90,128.420348
8670.0,90,128.4779
8545.0,90,128.558678
8200.0,90,128.65071
8420.0,90,128.720099
7600.0,90,129.119024
9035.0,90,129.189475
6480.0,90,129.266593
8215.0,90,129.329706
8510.0,90,129.405362
8905.0,90,129.46172
8770.0,90,129.555612
8905.0,90,129.627921
8725.0,90,129.703727
8475.0,90,129.816339
6905.0,90,129.888257
8105.0,90,129.972071
8630.0,90,130.047879
6630.0,90,130.127455
8650.0,90,133.520488
7645.0,90,133.599896
8515.0,90,133.670755
8035.0,90,133.746872
7240.0,90,133.818587
9335.0,90,133.899323
7725.0,90,133.978649
7795.0,90,134.048574
7725.0,90,134.120966
8080.0,90,134.198328
9635.0,90,134.280573
7990.0,90,134.388813
8630.0,90,134.459642
7575.0,90,134.521733
9585.0,90,134.59755
7120.0,90,134.680403
8580.0,90,134.753943
7880.0,90,134.836689
6920.0,90,134.914322
7960.0,90,134.984518
8025.0,90,135.073465
6670.0,90,135.153725
7330.0,90,138.464919
10790.0,90,138.628642
8830.0,90,138.714109
7725.0,90,138.776871
6985.0,90,138.857745
7385.0,90,138.974705
8125.0,90,139.03552
9215.0,90,139.126006
8205.0,90,139.208717
5765.0,90,139.268656
8455.0,90,139.341402
6590.0,90,139.426316
7710.0,90,139.493654
9160.0,90,139.561878
7440.0,90,139.646224
8600.0,90,139.717768
8500.0,90,139.786857
9500.0,90,139.877759
6095.0,90,139.941808
9880.0,90,140.04215
8710.0,90,140.424335
5820.0,90,140.478725
7435.0,90,140.560056
9935.0,90,143.752608
9835.0,90,143.913296
6810.0,90,144.042027
10175.0,90,144.10624
7870.0,90,144.174423
9105.0,90,144.246887
8475.0,90,144.31951
9055.0,90,144.472945
7935.0,90,144.548632
8240.0,90,144.646459
7795.0,90,144.722816
9050.0,90,144.813055
9170.0,90,144.896279
8265.0,90,144.949404
8365.0,90,145.033759
7550.0,90,145.120086
8085.0,90,145.178406
7770.0,90,145.276622
7270.0,90,145.349606
8570.0,90,145.421685
8890.0,90,145.497028
9515.0,90,145.581729
9100.0,90,145.692321
8040.0,90,148.887945
7845.0,90,149.022817
6950.0,90,149.18635
8770.0,90,149.290889
8935.0,90,149.419578
9330.0,90,149.496562
9165.0,90,149.575952
8130.0,90,149.640347
7975.0,90,149.711976
9415.0,90,149.809042
7235.0,90,149.872293
9115.0,90,149.956796
8085.0,90,150.028951
7625.0,90,150.10637
10440.0,90,150.184708
6445.0,90,150.371646
10455.0,90,150.446548
8710.0,90,150.513811
9035.0,90,150.58883
7740.0,90,150.651674
9190.0,90,150.727113
7365.0,90,150.789658
7215.0,90,150.867997
8960.0,90,154.154567
8320.0,90,154.221004
6625.0,90,154.298468
9110.0,90,154.358233
7885.0,90,154.455598
7225.0,90,154.571031
6840.0,90,155.053966
7560.0,90,155.122612
8010.0,90,155.20355
8095.0,90,155.253191
10030.0,90,155.353306
7500.0,90,155.440518
9905.0,90,155.53883
8675.0,90,155.600633
9645.0,90,155.672554
8025.0,90,155.747048
6725.0,90,155.803874
10285.0,90,155.896252
8590.0,90,156.031622
7905.0,90,156.109647
8115.0,90,156.168203
9385.0,90,156.24443
8640.0,90,159.498463
9180.0,90,159.672175
9455.0,90,159.737192
8560.0,90,159.844138
9025.0,90,159.952651
7960.0,90,160.078442
9230.0,90,160.156892
9310.0,90,160.227184
8105.0,90,160.297413
7860.0,90,160.372638
8100.0,90,160.475964
8800.0,90,160.593789
6640.0,90,160.651719
6910.0,90,160.7122
9360.0,90,160.790999
7840.0,90,160.881706
8765.0,90,160.957822
8570.0,90,161.03761
8460.0,90,161.110691
10130.0,90,161.179165
7985.0,90,161.256213
9020.0,90,161.32948
8005.0,90,161.386706
8425.0,90,164.661165
9465.0,90,164.823838
9655.0,90,164.898971
8715.0,90,164.970869
7120.0,90,165.047982
7735.0,90,165.270038
8815.0,90,165.384755
5815.0,90,165.540601
6625.0,90,165.605555
9240.0,90,165.677019
8220.0,90,165.750981
8505.0,90,165.824212
9525.0,90,165.893889
7125.0,90,165.970915
7955.0,90,166.047177
6950.0,90,166.119049
7485.0,90,166.213663
8650.0,90,166.624295
7765.0,90,166.689936
8825.0,90,166.759986
8265.0,90,166.824775
8410.0,90,166.896636
9705.0,90,166.980682
9480.0,90,170.306203
9275.0,90,170.407225
8180.0,90,170.471209
8245.0,90,170.532545
9270.0,90,170.654608
9610.0,90,170.74664
8405.0,90,170.910748
8260.0,90,170.99676
6420.0,90,171.131706
9385.0,90,171.196517
8860.0,90,171.275824
9850.0,90,171.349312
8245.0,90,171.431458
9425.0,90,171.512879
7500.0,90,171.593147
7345.0,90,171.661785
8925.0,90,171.751796
7470.0,90,171.82644
8095.0,90,171.883045
9775.0,90,171.986887
8170.0,90,172.100581
8695.0,90,172.149082
5865.0,90,172.221696
7560.0,90,175.434016
10425.0,90,175.508201
8100.0,90,175.586976
8960.0,90,175.655516
8720.0,90,175.724972
8830.0,90,175.807986
10635.0,90,175.873039
9165.0,90,175.996715
7535.0,90,176.135036
6580.0,90,176.258644
8990.0,90,176.348519
7850.0,90,176.408939
8610.0,90,176.487551
9785.0,90,176.556034
8975.0,90,176.675801
9280.0,90,176.805254
8615.0,90,176.876517
9740.0,90,176.950354
9070.0,90,177.031435
8115.0,90,177.097372
8455.0,90,177.178567
9070.0,90,177.259371
8770.0,90,180.412062
7935.0,90,180.630787
9005.0,90,180.714139
6820.0,90,180.785207
8555.0,90,181.182487
10030.0,90,181.29076
8130.0,90,181.410528
8330.0,90,181.508174
7370.0,90,181.650506
8415.0,90,181.724576
9280.0,90,181.793183
8310.0,90,181.874966
6795.0,90,181.946377
9010.0,90,182.071038
8800.0,90,182.146497
9320.0,90,182.212411
7925.0,90,182.30586
7010.0,90,182.398152
8990.0,90,182.456839
9940.0,90,182.528947
10240.0,90,182.596463
7290.0,90,182.66728
9270.0,90,182.73917
7805.0,90,185.870603
9790.0,90,186.005222
