#{"t_start": 1763548347.3370397, "env_id": "HealthcareEnv-v0"}
r,l,t
-415.0,90,0.256606
2270.0,90,0.327418
2410.0,90,0.422808
-780.0,85,0.490572
-30.0,90,0.561046
3350.0,90,0.668628
-595.0,90,0.827415
1370.0,90,0.898357
-150.0,79,0.963993
2130.0,90,1.060072
2215.0,90,1.145394
-2045.0,90,1.223677
520.0,90,1.287957
955.0,90,1.357507
2685.0,90,1.412086
3770.0,90,1.495323
-1135.0,90,1.580494
1490.0,90,1.648564
110.0,90,1.722362
2295.0,90,1.8017
80.0,90,1.871707
1210.0,90,1.94204
3460.0,90,5.377317
3015.0,90,5.565477
-550.0,90,5.646182
350.0,90,5.74828
3060.0,90,5.840254
1435.0,90,5.908085
1425.0,90,5.981736
1135.0,90,6.046927
840.0,90,6.122558
1090.0,90,6.193818
2475.0,90,6.259688
3010.0,90,6.333862
-365.0,90,6.402676
2480.0,90,6.473341
2840.0,90,6.542953
1295.0,90,6.614216
2705.0,90,6.676553
2860.0,90,6.746071
-100.0,90,6.837223
3445.0,90,6.957452
1490.0,90,7.025435
4210.0,90,7.163501
2990.0,90,7.233835
2930.0,90,10.75881
875.0,90,10.945442
3210.0,90,11.013193
1945.0,90,11.11876
2715.0,90,11.197754
4005.0,90,11.270528
2965.0,90,11.347571
1845.0,90,11.421282
2370.0,90,11.504922
3535.0,90,11.617889
1695.0,90,12.015337
4225.0,90,12.092434
3770.0,90,12.164423
3845.0,90,12.219814
3770.0,90,12.304371
4070.0,90,12.377205
3385.0,90,12.436621
3280.0,90,12.51576
-400.0,90,12.678001
3325.0,90,12.763744
4185.0,90,12.833988
2925.0,90,12.907556
3675.0,90,12.974889
-270.0,90,16.577594
1680.0,90,16.699257
4340.0,90,16.761754
3670.0,90,16.843617
4295.0,90,16.91128
3305.0,90,16.978477
-725.0,89,17.030546
2980.0,90,17.111293
3745.0,90,17.184091
3995.0,88,17.248231
3460.0,90,17.329051
2890.0,90,17.464186
3710.0,90,17.535228
3295.0,90,17.617611
1920.0,90,17.689074
5300.0,90,17.745755
5275.0,90,17.82966
1660.0,90,17.901676
1295.0,90,17.965439
2785.0,90,18.059848
1005.0,87,18.126168
3525.0,90,18.199966
3495.0,86,18.344835
2865.0,84,21.711112
4855.0,85,21.928044
3560.0,90,22.028801
4600.0,90,22.134718
5425.0,90,22.221817
4260.0,90,22.294665
3670.0,90,22.362386
-660.0,90,22.426242
4385.0,90,22.516949
4205.0,90,22.577154
3990.0,90,22.661917
4210.0,90,22.729287
5500.0,90,22.806103
4305.0,90,22.876785
3300.0,90,22.949454
4280.0,90,23.018716
3785.0,90,23.102142
3885.0,86,23.169014
3935.0,90,23.255248
4905.0,90,23.380778
2215.0,82,23.79389
5900.0,90,23.865662
6215.0,90,23.917073
2935.0,90,27.306277
2305.0,80,27.450124
5215.0,90,27.544058
2225.0,90,27.618575
4935.0,90,27.696899
4955.0,90,27.76125
3810.0,90,27.837272
5205.0,90,27.903301
5050.0,90,28.098654
4085.0,90,28.173203
4275.0,90,28.244936
6730.0,90,28.311592
4915.0,90,28.382017
4575.0,90,28.462676
5115.0,90,28.541323
4450.0,90,28.62314
5005.0,90,28.694904
2715.0,90,28.764963
4560.0,90,28.837675
4580.0,90,28.927079
6210.0,90,28.990333
4040.0,89,29.077042
4010.0,90,29.199565
4810.0,90,32.392828
5210.0,90,32.482966
5235.0,85,32.599315
3920.0,89,32.718243
5670.0,90,32.890015
4485.0,90,32.961847
7155.0,90,33.05111
4795.0,90,33.111361
5950.0,90,33.176862
5150.0,90,33.261126
6145.0,90,33.329797
4350.0,90,33.402238
4935.0,90,33.484608
5030.0,90,33.541791
5610.0,90,33.627486
6245.0,90,33.698632
3805.0,90,33.764332
5640.0,90,33.84378
7040.0,90,33.988199
4365.0,90,34.060958
5740.0,90,34.131023
4370.0,90,34.196168
4590.0,90,34.262304
4795.0,90,37.493902
6495.0,90,37.562054
5340.0,90,37.650975
4860.0,90,37.729049
6500.0,90,37.788707
6815.0,90,37.863074
5220.0,90,37.958307
